City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Narasannapeta,IN,84.27,clear sky,18.4167,84.05,AVK events and catering
2,Rikitea,PF,75.85,clear sky,-23.1203,-134.9692,People ThankYou
5,Cavalcante,BR,82.0,clear sky,-13.7975,-47.4583,Pousada Vila dos Ipês
7,Senj,HR,74.07,overcast clouds,44.9894,14.9058,Roza Guest House
9,Lompoc,US,77.68,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
11,Vieste,IT,70.79,scattered clouds,41.8825,16.175,Hotel Falcone
12,Tiznit,MA,78.08,few clouds,29.5833,-9.5,Pousada Vivenda Oriente
13,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
40,Sao Filipe,CV,72.28,clear sky,14.8961,-24.4956,Hotel Xaguate
43,Kapaa,US,78.78,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
46,Atuona,PF,77.34,light rain,-9.8,-139.0333,Villa Enata
51,Guhagar,IN,83.12,clear sky,17.4842,73.1929,Hotel Seawinds
53,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
55,Dingle,PH,77.2,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
59,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
63,Arraial Do Cabo,BR,73.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
66,Cocorit,MX,86.34,clear sky,27.5833,-109.9667,Kaba Motel
69,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
73,Isangel,VU,75.47,broken clouds,-19.55,169.2667,Tanna Lodge
76,San Cristobal,VE,82.58,clear sky,7.7669,-72.225,Pirineos
78,Ewo,CG,74.75,light rain,-0.8725,14.8206,Residence Elonda Ewo
80,Port Blair,IN,84.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
81,Ban Nahin,LA,74.08,moderate rain,18.2418,104.2122,Crôa Mares Hotel
83,Muleba,TZ,71.35,overcast clouds,-1.8397,31.6544,DIGNITY GUEST (RUGAIMUKAMU)
84,Sao Joao Da Barra,BR,75.29,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
85,Kloulklubed,PW,83.68,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
88,Hithadhoo,MV,83.86,overcast clouds,-0.6,73.0833,Scoop Guest House
91,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
93,Nioro,GM,86.9,broken clouds,13.35,-15.75,Crôa Mares Hotel
94,Cabedelo,BR,79.47,few clouds,-6.9811,-34.8339,Hotel Pigalle
100,Itoman,JP,75.22,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
101,Pakokku,MM,87.48,overcast clouds,21.3333,95.1,Royal Palace Motel
108,Pitimbu,BR,79.39,few clouds,-7.4706,-34.8086,Reserva do Abiaí
109,Kieta,PG,77.79,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
115,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
117,Aksu,CN,76.62,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
122,Mae Sai,TH,71.26,broken clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
124,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
127,Belmonte,BR,75.94,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
128,Faya,SA,73.51,clear sky,18.3851,42.4509,املاك خالد الشعشوع
130,Broome,US,83.66,moderate rain,42.2506,-75.833,Chenango Valley State Park
133,Jardim,BR,79.57,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
134,Eyl,SO,81.3,overcast clouds,7.9803,49.8164,Amiin Hotel
137,Victoria,HK,77.18,light rain,22.2855,114.1577,Mini Central
139,Bengkulu,ID,76.19,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
141,Ararat,AM,75.54,few clouds,39.8317,44.7049,NORSED MOTEL/НОРСЕД МОТЕЛЬ/ՆՈՐՍԵԴ ՄՈԹԵԼ
143,Gunjur,GM,75.27,clear sky,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
144,Hobyo,SO,80.22,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
145,Saint-Jean-Port-Joli,CA,73.0,overcast clouds,47.2171,-70.2658,Motel Blanche d'Haberville
151,Carnarvon,AU,70.86,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
154,Ponta Do Sol,PT,72.01,few clouds,32.6667,-17.1,Hotel do Campo
155,Ko Samui,TH,84.4,overcast clouds,9.5357,99.9357,The Passage
