City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
0,Narasannapeta,18.4167,84.05,84.27,74,5,3.71,clear sky,IN,2022-05-22 19:21:32
1,Hermanus,-34.4187,19.2345,60.31,85,69,7.63,broken clouds,ZA,2022-05-22 19:21:32
2,Rikitea,-23.1203,-134.9692,75.85,76,2,13.69,clear sky,PF,2022-05-22 19:21:33
3,Kodinsk,58.6881,99.1844,42.71,94,5,1.54,clear sky,RU,2022-05-22 19:22:07
4,East London,-33.0153,27.9116,61.32,83,0,3.67,clear sky,ZA,2022-05-22 19:23:40
5,Cavalcante,-13.7975,-47.4583,82.0,31,2,3.49,clear sky,BR,2022-05-22 19:23:41
6,Kaitangata,-46.2817,169.8464,46.53,84,83,13.11,broken clouds,NZ,2022-05-22 19:23:41
7,Senj,44.9894,14.9058,74.07,80,100,5.61,overcast clouds,HR,2022-05-22 19:23:41
8,Ushuaia,-54.8,-68.3,40.62,81,20,5.75,few clouds,AR,2022-05-22 19:21:02
9,Lompoc,34.6391,-120.4579,77.68,65,0,16.11,clear sky,US,2022-05-22 19:22:06
10,Codrington,-38.2667,141.9667,43.59,95,4,7.72,clear sky,AU,2022-05-22 19:21:34
11,Vieste,41.8825,16.175,70.79,69,25,3.85,scattered clouds,IT,2022-05-22 19:23:42
12,Tiznit,29.5833,-9.5,78.08,45,15,3.91,few clouds,MA,2022-05-22 19:21:35
13,Puerto Ayora,-0.7393,-90.3518,78.76,76,66,11.05,broken clouds,EC,2022-05-22 19:22:38
14,Narsaq,60.9167,-46.05,39.42,99,100,5.66,light rain,GL,2022-05-22 19:21:36
15,Tondano,1.3038,124.9112,66.29,89,100,1.28,overcast clouds,ID,2022-05-22 19:21:36
16,Albany,42.6001,-73.9662,91.92,48,86,7.63,overcast clouds,US,2022-05-22 19:21:03
17,Opuwo,-18.0607,13.84,60.51,19,2,7.14,clear sky,NA,2022-05-22 19:21:36
18,Nouakchott,18.0858,-15.9785,69.73,87,0,16.24,clear sky,MR,2022-05-22 19:21:37
19,Jamestown,42.097,-79.2353,57.52,97,100,8.05,overcast clouds,US,2022-05-22 19:17:41
20,Kodiak,57.79,-152.4072,51.31,76,75,12.66,broken clouds,US,2022-05-22 19:21:37
21,Qaanaaq,77.484,-69.3632,25.36,77,100,2.71,overcast clouds,GL,2022-05-22 19:21:37
22,North Bend,43.4065,-124.2243,68.23,87,0,8.05,clear sky,US,2022-05-22 19:15:19
23,Strelka,58.0728,93.0344,47.97,77,15,4.38,few clouds,RU,2022-05-22 19:23:43
24,Netivot,31.4222,34.5886,65.61,65,0,9.19,clear sky,IL,2022-05-22 19:21:38
25,Cradock,-32.1642,25.6192,55.02,70,99,3.76,overcast clouds,ZA,2022-05-22 19:21:38
26,Sitka,57.0531,-135.33,49.89,81,100,8.05,overcast clouds,US,2022-05-22 19:23:43
27,Cidreira,-30.1811,-50.2056,62.58,66,100,4.29,overcast clouds,BR,2022-05-22 19:21:39
28,Barrow,71.2906,-156.7887,21.22,93,100,9.22,overcast clouds,US,2022-05-22 19:21:39
29,Busselton,-33.65,115.3333,61.27,67,65,23.49,broken clouds,AU,2022-05-22 19:21:39
30,Mackay,-21.15,149.2,68.68,83,92,13.38,overcast clouds,AU,2022-05-22 19:21:40
31,Naze,28.3667,129.4833,65.32,72,100,2.8,overcast clouds,JP,2022-05-22 19:21:40
32,Lagoa,39.05,-27.9833,62.24,92,100,5.97,overcast clouds,PT,2022-05-22 19:21:40
33,Taltal,-25.4,-70.4833,66.18,66,22,6.85,few clouds,CL,2022-05-22 19:21:41
34,Bredasdorp,-34.5322,20.0403,56.37,90,38,5.41,scattered clouds,ZA,2022-05-22 19:23:44
35,Port Elizabeth,-33.918,25.5701,56.1,78,91,2.1,overcast clouds,ZA,2022-05-22 19:18:18
36,Leirvik,59.7798,5.5005,56.86,74,100,8.88,overcast clouds,NO,2022-05-22 19:21:41
37,Dikson,73.5069,80.5464,21.96,92,76,8.61,broken clouds,RU,2022-05-22 19:21:41
38,Ust-Nera,64.5667,143.2,35.1,89,100,4.07,overcast clouds,RU,2022-05-22 19:21:42
39,Katangli,51.7102,143.2326,34.16,88,100,7.49,overcast clouds,RU,2022-05-22 19:21:42
40,Sao Filipe,14.8961,-24.4956,72.28,78,6,13.89,clear sky,CV,2022-05-22 19:21:42
41,Lincoln,40.8,-96.667,69.01,33,0,6.91,clear sky,US,2022-05-22 19:23:24
42,Katsuura,35.1333,140.3,64.9,88,66,9.51,broken clouds,JP,2022-05-22 19:21:42
43,Kapaa,22.0752,-159.319,78.78,83,100,12.66,overcast clouds,US,2022-05-22 19:21:43
44,Margate,51.3813,1.3862,64.31,71,100,1.01,overcast clouds,GB,2022-05-22 19:16:11
45,Hobart,-42.8794,147.3294,50.25,85,100,10.36,overcast clouds,AU,2022-05-22 19:20:40
46,Atuona,-9.8,-139.0333,77.34,81,31,17.4,light rain,PF,2022-05-22 19:20:00
47,Tasiilaq,65.6145,-37.6368,33.96,97,100,8.03,overcast clouds,GL,2022-05-22 19:24:45
48,Punta Arenas,-53.15,-70.9167,41.11,65,75,11.5,broken clouds,CL,2022-05-22 19:22:19
49,Airai,-8.9266,125.4092,58.64,90,50,3.58,scattered clouds,TL,2022-05-22 19:24:45
50,Esperance,-33.8667,121.9,63.0,74,24,10.92,few clouds,AU,2022-05-22 19:24:46
51,Guhagar,17.4842,73.1929,83.12,79,5,6.89,clear sky,IN,2022-05-22 19:24:46
52,Castro,-24.7911,-50.0119,64.49,51,4,5.06,clear sky,BR,2022-05-22 19:24:46
53,Georgetown,5.4112,100.3354,82.33,92,20,2.3,few clouds,MY,2022-05-22 19:21:55
54,San Quintin,30.4833,-115.95,65.66,57,0,12.91,clear sky,MX,2022-05-22 19:24:47
55,Dingle,10.9995,122.6711,77.2,88,100,4.23,overcast clouds,PH,2022-05-22 19:24:47
56,Ginda,30.6945,78.4932,55.62,66,0,6.22,clear sky,IN,2022-05-22 19:24:47
57,New Norfolk,-42.7826,147.0587,49.91,84,74,2.37,broken clouds,AU,2022-05-22 19:24:48
58,Longyearbyen,78.2186,15.6401,35.44,87,75,5.75,broken clouds,SJ,2022-05-22 19:24:30
59,Vaini,-21.2,-175.2,75.36,94,40,4.61,scattered clouds,TO,2022-05-22 19:24:48
60,Pochutla,15.7432,-96.4661,90.82,39,0,10.54,clear sky,MX,2022-05-22 19:24:48
61,Provideniya,64.3833,-173.3,49.15,43,100,10.78,overcast clouds,RU,2022-05-22 19:24:37
62,Port Alfred,-33.5906,26.891,60.37,79,60,4.07,broken clouds,ZA,2022-05-22 19:24:49
63,Arraial Do Cabo,-22.9661,-42.0278,73.36,68,0,16.11,clear sky,BR,2022-05-22 19:22:39
64,Dongobesh,-4.0667,35.3833,61.03,67,91,3.31,overcast clouds,TZ,2022-05-22 19:24:49
65,Umba,66.6871,34.3429,34.66,70,30,5.73,scattered clouds,RU,2022-05-22 19:24:49
66,Cocorit,27.5833,-109.9667,86.34,16,6,10.78,clear sky,MX,2022-05-22 19:24:49
67,Rio Grande,-32.035,-52.0986,68.11,67,0,6.93,clear sky,BR,2022-05-22 19:24:50
68,Camalu,30.85,-116.0667,66.4,56,0,11.72,clear sky,MX,2022-05-22 19:24:50
69,Avarua,-21.2078,-159.775,78.85,89,75,13.8,broken clouds,CK,2022-05-22 19:24:50
70,Port-Cartier,50.0334,-66.8654,59.22,76,100,5.06,overcast clouds,CA,2022-05-22 19:22:47
71,Hrodna,53.6884,23.8258,48.94,96,100,6.62,overcast clouds,BY,2022-05-22 19:24:51
72,Ostrovnoy,68.0531,39.5131,30.67,81,18,10.02,few clouds,RU,2022-05-22 19:24:03
